,Latitude,Longitude,Max_surface_temp_F,county
0,34.542,-93.024,79.0,Garland County
1,34.384,-93.60700000000001,95.0,Montgomery County
2,34.406,-93.90799999999999,74.0,Montgomery County
3,34.321,-93.73899999999999,77.0,Pike County
4,36.48,-91.053,82.0,Randolph County
5,32.281,-110.73,86.0,Pima County
6,31.695,-110.963,90.0,Santa Cruz County
7,32.984,-113.324,102.0,Maricopa County
8,31.673000000000002,-109.902,79.0,Cochise County
9,31.362,-109.265,75.0,Cochise County
10,34.925,-114.221,79.0,Mohave County
11,35.213,-113.425,72.0,Mohave County
12,33.51,-110.40299999999999,73.0,Gila County
13,33.055,-109.295,102.0,Greenlee County
14,34.695,-113.572,97.0,Mohave County
15,36.509,-111.852,86.0,Coconino County
16,33.17,-110.52799999999999,99.0,Gila County
17,33.046,-109.44,97.0,Greenlee County
18,35.169000000000004,-113.851,70.0,Mohave County
19,33.008,-109.77799999999999,91.0,Graham County
20,35.96,-114.725,86.0,Mohave County
21,34.563,-113.49700000000001,99.0,Mohave County
22,36.196,-113.081,90.0,Mohave County
23,31.592,-109.51,68.0,Cochise County
24,32.336999999999996,-110.708,77.0,Pima County
25,33.152,-110.639,84.0,Gila County
26,33.915,-112.33200000000001,79.0,Yavapai County
27,31.636999999999997,-110.70299999999999,82.0,Santa Cruz County
28,32.327,-110.228,73.0,Cochise County
29,34.896,-114.30799999999999,91.0,Mohave County
30,36.418,-113.956,86.0,Mohave County
31,33.209,-110.818,91.0,Gila County
32,31.943,-113.01299999999999,90.0,Pima County
33,34.436,-109.402,72.0,Apache County
34,33.830999999999996,-110.574,78.0,Gila County
35,33.075,-109.29799999999999,95.0,Greenlee County
36,34.649,-111.744,75.0,Yavapai County
37,34.405,-111.602,72.0,Gila County
38,33.253,-110.70299999999999,75.0,Gila County
39,33.163000000000004,-110.662,82.0,Gila County
40,34.445,-112.693,72.0,Yavapai County
41,34.076,-111.708,99.0,Yavapai County
42,36.895,-113.913,79.0,Mohave County
43,34.91,-113.60799999999999,82.0,Mohave County
44,34.32,-111.45299999999999,72.0,Gila County
45,35.077,-113.26700000000001,81.0,Yavapai County
46,34.357,-111.71,104.0,Yavapai County
47,33.068000000000005,-109.975,90.0,Graham County
48,33.062,-109.48200000000001,73.0,Greenlee County
49,32.983000000000004,-110.37299999999999,79.0,Graham County
50,32.345,-110.24700000000001,91.0,Cochise County
51,33.438,-110.213,86.0,Gila County
52,33.198,-110.66799999999999,99.0,Gila County
53,33.748000000000005,-110.235,83.0,Gila County
54,35.11,-113.81,73.0,Mohave County
55,39.022,-122.444,86.0,Lake County
56,38.654,-122.484,91.0,Napa County
57,32.946999999999996,-116.305,101.0,San Diego County
58,33.363,-117.01700000000001,92.0,San Diego County
59,37.503,-121.904,80.0,Alameda County
60,38.773,-122.705,108.0,Lake County
61,38.85,-122.667,81.0,Lake County
62,35.842,-117.38,92.0,Inyo County
63,38.891999999999996,-122.53299999999999,76.0,Lake County
64,41.167,-120.03200000000001,90.0,Washoe County
65,37.888000000000005,-118.48700000000001,70.0,Mono County
66,39.006,-122.787,90.0,Lake County
67,37.234,-118.881,109.0,Fresno County
68,41.919,-122.369,76.0,Siskiyou County
69,34.423,-119.538,72.0,Santa Barbara County
70,37.847,-121.635,96.0,Contra Costa County
71,35.4,-120.25,73.0,San Luis Obispo County
72,33.545,-115.654,97.0,Riverside County
73,38.916,-122.79899999999999,76.0,Lake County
74,35.439,-119.846,90.0,Kern County
75,37.638000000000005,-118.887,73.0,Mono County
76,35.946,-116.189,80.0,Inyo County
77,33.625,-115.325,72.0,Riverside County
78,39.292,-122.821,106.0,Lake County
79,37.632,-121.762,70.0,Alameda County
80,38.995,-122.64200000000001,73.0,Lake County
81,33.436,-117.324,85.0,San Diego County
82,36.33,-117.948,93.0,Inyo County
83,36.084,-121.584,98.0,Monterey County
84,33.512,-115.82700000000001,84.0,Riverside County
85,33.896,-117.057,109.0,Riverside County
86,34.159,-118.499,79.0,Los Angeles County
87,38.897,-122.882,76.0,Lake County
88,41.492,-120.7,91.0,Modoc County
89,33.664,-117.913,96.0,Orange County
90,37.532,-119.025,110.0,Fresno County
91,33.407,-116.035,90.0,Imperial County
92,39.348,-122.66799999999999,79.0,Colusa County
93,37.108000000000004,-121.478,106.0,Santa Clara County
94,38.835,-122.73100000000001,97.0,Lake County
95,37.029,-117.383,100.0,Inyo County
96,39.001999999999995,-122.49799999999999,68.0,Lake County
97,40.245,-120.007,86.0,Lassen County
98,38.936,-122.90700000000001,84.0,Lake County
99,38.925,-122.77,77.0,Lake County
100,38.8,-123.17,100.0,Sonoma County
101,38.994,-122.742,108.0,Lake County
102,37.708,-118.81299999999999,68.0,Mono County
103,40.44,-121.42,83.0,Plumas County
104,40.141999999999996,-120.935,106.0,Plumas County
105,36.773,-120.898,73.0,Merced County
106,39.657,-123.585,80.0,Mendocino County
107,32.617,-116.189,101.0,San Diego County
108,36.675,-116.92299999999999,93.0,Inyo County
109,36.477,-118.404,109.0,Tulare County
110,33.836999999999996,-117.145,100.0,Riverside County
111,34.503,-120.219,99.0,Santa Barbara County
112,34.537,-119.613,90.0,Santa Barbara County
113,36.698,-117.848,81.0,Inyo County
114,37.573,-121.445,73.0,San Joaquin County
115,38.394,-122.552,88.0,Sonoma County
116,36.806,-117.771,110.0,Inyo County
117,38.55,-122.72,88.0,Sonoma County
118,34.482,-119.302,109.0,Ventura County
119,33.733000000000004,-114.90700000000001,82.0,Riverside County
120,39.728,-120.54700000000001,86.0,Plumas County
121,37.398,-121.794,84.0,Santa Clara County
122,35.483000000000004,-119.917,73.0,Kern County
123,38.033,-118.902,88.0,Mono County
124,37.327,-119.01799999999999,109.0,Fresno County
125,33.201,-115.57700000000001,100.0,Imperial County
126,33.211999999999996,-115.59100000000001,100.0,Imperial County
127,39.429,-123.30799999999999,68.0,Mendocino County
128,38.85,-120.025,75.0,El Dorado County
129,38.519,-122.26,78.0,Napa County
130,38.339,-122.259,76.0,Napa County
131,36.512,-116.821,102.0,Inyo County
132,34.826,-116.677,77.0,San Bernardino County
133,39.196,-122.714,94.0,Lake County
134,35.122,-120.542,99.0,San Luis Obispo County
135,38.833,-122.35700000000001,72.0,Napa County
136,39.227,-123.36200000000001,104.0,Mendocino County
137,33.823,-116.542,104.0,Riverside County
138,34.271,-116.838,88.0,San Bernardino County
139,35.143,-116.81299999999999,100.0,San Bernardino County
140,36.330999999999996,-121.367,98.0,Monterey County
141,35.663000000000004,-120.69200000000001,102.0,San Luis Obispo County
142,35.269,-120.851,95.0,San Luis Obispo County
143,39.696999999999996,-123.478,70.0,Mendocino County
144,38.85,-122.693,78.0,Lake County
145,41.828,-120.917,78.0,Modoc County
146,39.198,-122.505,81.0,Colusa County
147,39.053000000000004,-122.59700000000001,82.0,Lake County
148,35.879,-116.15299999999999,80.0,Inyo County
149,38.958,-122.70100000000001,93.0,Lake County
150,37.88,-122.62700000000001,90.0,Marin County
151,37.431999999999995,-121.30799999999999,73.0,Stanislaus County
152,34.537,-119.87899999999999,110.0,Santa Barbara County
153,35.582,-120.666,92.0,San Luis Obispo County
154,35.681999999999995,-116.42200000000001,82.0,San Bernardino County
155,36.938,-121.565,77.0,Santa Clara County
156,40.568000000000005,-120.325,72.0,Lassen County
157,35.588,-116.359,73.0,San Bernardino County
158,35.978,-116.273,90.0,Inyo County
159,33.8,-116.927,102.0,Riverside County
160,36.13,-118.816,72.0,Tulare County
161,38.95,-122.572,72.0,Lake County
162,36.21,-118.176,100.0,Tulare County
163,35.141,-116.101,75.0,San Bernardino County
164,38.838,-122.65299999999999,79.0,Lake County
165,40.019,-121.036,99.0,Plumas County
166,41.483999999999995,-120.764,81.0,Modoc County
